nr;faryrke;yrke_beskrivelse_far
1;eier av firma;passer på firmaet
2; ; 
3;DØD;DØD
4;Lege; 
5;Hjelpepleier;Hjelper gamle mennesker, med mat og daglige gjøremål som å dusje dem, kle på dem osv.
6; ; 
7;Sparebank 1 forsikring;usikker
8;TOLKK;TOLKKER
9;Firma;selger varer for abena
10; ; 
11;Salgssjef for BabyDan;Han besøker butikker i land som Norge, Danmark, Italia, Tyskland osv og får bestillinger, og bestillinger i telefon
12;Ingeniør;Avdelingssjef
13;Tømrer;Nå sitter han på kontor
14;PSYKOLOG;aner ikke
15; ; 
16; ; 
17; ; 
18;Distriksjef i Maleselskap;Selger maling
19; ; 
20; ; 
21;Sjef?;Han skal hjelpe et merke med å bli større i Norge
22;Vet ikke;Vet ikke
23;Data;Han fikser dataene
24; ; 
25; ; 
26; ; 
27; ; 
28;IT;JOBBER PÅ PC
29; ; 
30;ingeniør;utvikler dataprogram for olje
31; ; 
32;Regnskapsfører;Revisjon i praksis
33;journalist;skriver om politikk
34;Seniorrådgiver;Gir råd om sikkerhet i Departementet
35; ; 
36; ; 
37;Evry, tillitsvalgt;Er i møter, passer på at overordnede ikke jukser, at de gjør jobben sin
38;Lærer;Underviser
